載具自訂名稱,發票日期,發票號碼,發票金額,發票狀態,折讓,賣方統一編號,賣方名稱,賣方地址,買方統編,消費明細_數量,消費明細_單價,消費明細_金額,消費明細_品名
手機條碼,20260428,YS10300472,59,開立已確認,否,97164871,統一超商股份有限公司新北市第二二八分公司,新北市板橋區莊敬路60號,,1,59,59,握便當-黑胡椒烤雞
手機條碼,20260428,YS10300472,20,開立已確認,否,97164871,統一超商股份有限公司新北市第二二八分公司,新北市板橋區莊敬路60號,,2,10,20,茶葉蛋
手機條碼,20260427,ZG40023534,209,開立已確認,否,28226057,福袋有限公司,新北市板橋區文化路一段３１８號１樓,,1,209,209,６吋百味俱樂部潛艇堡　６－Ｉｎｃｈ　Ｓｕｂｗａｙ　ＣｌｕｂＴＭ　Ｓｕｂ
手機條碼,20260427,ZB54056502,25,開立已確認,否,83076928,優食台灣股份有限公司,新北市林口區文化二路1段390號7樓,,1,25,25,外送費
手機條碼,20260427,ZB54056502,17,開立已確認,否,83076928,優食台灣股份有限公司,新北市林口區文化二路1段390號7樓,,1,17,17,服務費和其他費用
手機條碼,20260427,ZB54056502,-25,開立已確認,否,83076928,優食台灣股份有限公司,新北市林口區文化二路1段390號7樓,,1,-25,-25,送餐優惠
手機條碼,20260427,ZB54056502,-10,開立已確認,否,83076928,優食台灣股份有限公司,新北市林口區文化二路1段390號7樓,,1,-10,-10,服務費優惠
手機條碼,20260426,ZG61856968,130,開立已確認,否,90562298,華泰名品城企業股份有限公司,桃園市中壢區春德路159、169、189號,,1,130,130,其他
手機條碼,20260426,ZG61795427,3327,開立已確認,否,90562298,華泰名品城企業股份有限公司,桃園市中壢區春德路159、169、189號,,1,3327,3327,鞋履
手機條碼,20260425,YY73061366,1088,開立已確認,否,43045301,香港商世界健身事業有限公司板橋雙十分公司,新北市板橋區莊敬路15號地下1層及23號地下1層、及25巷1號,,1,1088,1088,會費
手機條碼,20260425,YS98071094,169,開立已確認,否,54917009,統一超商股份有限公司新北市第一二七八分公司,新北市板橋區民生路二段232號1.2樓之14、232號1.2樓之15,,1,169,169,2O)韓國真果實檸檬highball調酒
手機條碼,20260425,YS98071094,-70,開立已確認,否,54917009,統一超商股份有限公司新北市第一二七八分公司,新北市板橋區民生路二段232號1.2樓之14、232號1.2樓之15,,1,-70,-70,0401指定韓國真果酒單件99元*28J
手機條碼,20260425,YS10298727,35,開立已確認,否,97164871,統一超商股份有限公司新北市第二二八分公司,新北市板橋區莊敬路60號,,1,35,35,美式冰咖啡(中)
手機條碼,20260424,YE46389204,49,開立已確認,否,94033412,全家便利商店股份有限公司新北市第一一○六分公司,新北市板橋區莊敬路８９號,,1,49,49,山賊燒風味烤雞胸棒
手機條碼,20260424,YE46389204,55,開立已確認,否,94033412,全家便利商店股份有限公司新北市第一一○六分公司,新北市板橋區莊敬路８９號,,1,55,55,蒜香紐奧良風味雞Ｑ丸
手機條碼,20260424,YE46389204,-4,開立已確認,否,94033412,全家便利商店股份有限公司新北市第一一○六分公司,新北市板橋區莊敬路８９號,,1,0,-4,鮮食促
手機條碼,20260422,ZL78855312,35,開立已確認,否,95148475,承佑企業社,新北市板橋區忠翠里莊敬路３８號,,5,7,35,招牌鍋貼
手機條碼,20260422,ZL78855312,35,開立已確認,否,95148475,承佑企業社,新北市板橋區忠翠里莊敬路３８號,,5,7,35,咖哩鍋貼
手機條碼,20260422,ZL78855312,45,開立已確認,否,95148475,承佑企業社,新北市板橋區忠翠里莊敬路３８號,,1,45,45,皮蛋豆腐
手機條碼,20260422,ZL78855312,40,開立已確認,否,95148475,承佑企業社,新北市板橋區忠翠里莊敬路３８號,,1,40,40,原塊花枝魚丸湯
手機條碼,20260422,YE46387367,42,開立已確認,否,94033412,全家便利商店股份有限公司新北市第一一○六分公司,新北市板橋區莊敬路８９號,,1,42,42,冰心乳酪條
手機條碼,20260422,YE46387367,45,開立已確認,否,94033412,全家便利商店股份有限公司新北市第一一○六分公司,新北市板橋區莊敬路８９號,,1,45,45,大冰美式
手機條碼,20260422,YE46387367,-21,開立已確認,否,94033412,全家便利商店股份有限公司新北市第一一○六分公司,新北市板橋區莊敬路８９號,,1,0,-21,鮮食促
手機條碼,20260422,YE46385544,260,開立已確認,否,94033412,全家便利商店股份有限公司新北市第一一○六分公司,新北市板橋區莊敬路８９號,,2,130,260,堅果起司
手機條碼,20260422,YE46385544,32,開立已確認,否,94033412,全家便利商店股份有限公司新北市第一一○六分公司,新北市板橋區莊敬路８９號,,1,32,32,光泉無加糖濃豆漿
手機條碼,20260422,YE46385544,32,開立已確認,否,94033412,全家便利商店股份有限公司新北市第一一○六分公司,新北市板橋區莊敬路８９號,,1,32,32,光泉無加糖濃豆漿
手機條碼,20260422,YE46385544,69,開立已確認,否,94033412,全家便利商店股份有限公司新北市第一一○六分公司,新北市板橋區莊敬路８９號,,1,69,69,美式經典嫩雞胸
手機條碼,20260422,YE46385544,-130,開立已確認,否,94033412,全家便利商店股份有限公司新北市第一一○六分公司,新北市板橋區莊敬路８９號,,1,0,-130,鮮食促
手機條碼,20260422,YE46385544,-22,開立已確認,否,94033412,全家便利商店股份有限公司新北市第一一○六分公司,新北市板橋區莊敬路８９號,,1,0,-22,低溫促
手機條碼,20260421,ZN46078737,145,開立已確認,否,91789961,享煮小吃店,新北市板橋區忠翠里莊敬路２５巷２號（１樓）,,1,145,145,坦都里優格雞餐盒
手機條碼,20260421,ZN46078737,30,開立已確認,否,91789961,享煮小吃店,新北市板橋區忠翠里莊敬路２５巷２號（１樓）,,1,30,30,時令湯品
手機條碼,20260419,ZH68714275,1,開立已確認,否,54687323,現代財富科技股份有限公司,台北市信義區忠孝東路五段６８號２５樓Ａ１,,1,1,1,服務費
